Candidate Id,Candidate Name,Party,Incumbent,Total Receipts,Individual,PAC,PartyContribute,Candidate,Disbursements,Cash On Hand,Debt,Date Through,Committee Canlendar Year,Transfers to other Authorized
H2TX07028,"ANDREWS, PHILLIP",DEMOCRATIC PARTY,CHALLENGER,"$2890","$2890","$0","$0","$0","$16130","$9068","$25210","09/30/2011","$1","$0"
H2TX34014,"AYCOCK, ELMO M III",DEMOCRATIC PARTY,CHALLENGER,"$622","$370","$0","$0","$252","$594","$27","$0","09/30/2011","$2","$0"
H2TX13075,"BARLOW, PAMELA LEE  DVM",REPUBLICAN PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H4TX06117,"BARTON, JOE LINUS",REPUBLICAN PARTY,INCUMBENT,"$263325","$172861","$223471","$0","$0","$687411","$1098864","$0","09/30/2011","$1","$0"
H2TX33065,"BRADLEY, CHARLES WAYNE",REPUBLICAN PARTY,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H6TX08100,"BRADY, KEVIN",REPUBLICAN PARTY,INCUMBENT,"$223941","$28023","$194694","$0","$0","$260667","$163160","$33500","09/30/2011","$1","$0"
H2TX11079,"BROWN, MARVEN WADE",REPUBLICAN PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H2TX28040,"BRUEGGEMANN, DALE ALLEN",REPUBLICAN PARTY,CHALLENGER,"$7820","$0","$0","$0","$7570","$8523","$-804","$0","09/30/2011","$1","$0"
H6TX12078,"BURCH, WILLIAM (BILL)PAUL",REPUBLICAN PARTY,CHALLENGER,"$22666","$21370","$0","$0","$0","$13748","$8918","$21417","09/30/2011","$1","$0"
H2TX26093,"BURGESS, MICHAEL C. DR.",REPUBLICAN PARTY,INCUMBENT,"$407529","$57865","$348500","$0","$0","$264306","$174153","$0","09/30/2011","$1","$0"
H2TX08083,"BURNS, NEIL  PAUL",DEMOCRATIC PARTY, ,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H2TX23116,"BUSTAMANTE, JOHN MARCUS",DEMOCRATIC PARTY,CHALLENGER,"$3666","$2916","$0","$0","$750","$3405","$260","$0","09/30/2011","$1","$0"
H0TX25073,"CAMPBELL, DONNA DR.",REPUBLICAN PARTY,CHALLENGER,"$43226","$43225","$0","$0","$0","$27724","$50001","$18208","09/30/2011","$1","$0"
H4TX28046,"CANSECO, FRANCISCO RAUL QUICO R.",REPUBLICAN PARTY,INCUMBENT,"$691259","$298596","$368652","$0","$0","$371581","$460641","$694350","09/30/2011","$1","$0"
H2TX30079,"CARAWAY, BARBARA LEN MALLORY",DEMOCRATIC PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H2TX16193,"CARRASCO, BARBARA",REPUBLICAN PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H2TX31044,"CARTER, JOHN R. REP.",REPUBLICAN PARTY,INCUMBENT,"$361164","$225364","$135800","$0","$0","$193117","$505005","$0","09/30/2011","$1","$0"
H2TX35011,"CASTRO, JOAQUIN",DEMOCRATIC PARTY,CHALLENGER,"$511710","$446148","$25350","$0","$40000","$122257","$389453","$40000","09/30/2011","$1","$0"
H2TX27125,"CHAMBLESS, DALLAS RAY",REPUBLICAN PARTY,CHALLENGER,"$1","$1","$0","$0","$0","$1","$1","$0","08/08/2011","$1","$0"
H2TX06129,"CHOW, JOE",REPUBLICAN PARTY,CHALLENGER,"$76000","$74900","$1000","$0","$0","$31255","$44745","$0","09/30/2011","$1","$0"
H2TX30087,"CLAYTON, TAJ",DEMOCRATIC PARTY, ,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H4TX19136,"CONAWAY, MICHAEL HONORABLE",REPUBLICAN PARTY,INCUMBENT,"$417309","$185292","$205250","$0","$0","$378185","$500783","$0","09/30/2011","$1","$0"
H2TX26150,"COSTA, DIANNE SALVAGNO",REPUBLICAN PARTY,CHALLENGER,"$238690","$18690","$0","$0","$220000","$54939","$183851","$222355","09/30/2011","$1","$0"
H0TX06065,"COZAD, DAVID EDWIN",DEMOCRATIC PARTY,CHALLENGER,"$50","$50","$0","$0","$0","$306","$-6","$0","09/30/2011","$1","$0"
H2TX23082,"CUELLAR, HENRY R.",DEMOCRATIC PARTY,INCUMBENT,"$632619","$392399","$225850","$330","$4500","$383946","$601245","$0","09/30/2011","$1","$0"
H0TX07055,"CULBERSON, JOHN",REPUBLICAN PARTY,INCUMBENT,"$318580","$191540","$126000","$0","$0","$253710","$102052","$0","09/30/2011","$1","$29000"
H2TX26143,"DANIELS, TRACY RAYMOND",INDEPENDENT,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0","06/28/2011","$1","$0"
H2TX14107,"DAY, TIMOTHY TERREL",REPUBLICAN PARTY,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H2TX33057,"DE LAPAZ, DAVID WILLIAM",DEMOCRATIC PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H4TX10028,"DOGGETT, LLOYD",DEMOCRATIC PARTY,INCUMBENT,"$682482","$514956","$152350","$49","$0","$200461","$3325357","$0","09/30/2011","$1","$0"
H2TX36035,"ENGSTRAND, JIM",REPUBLICAN PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H0TX27061,"FARENTHOLD, RANDOLPH BLAKE",REPUBLICAN PARTY,INCUMBENT,"$433463","$206628","$206272","$0","$406","$192256","$277837","$120389","09/30/2011","$1","$0"
H8TX18139,"FAULK, JOHN M SR.",REPUBLICAN PARTY,OPEN,"$2800","$0","$0","$0","$2800","$1671","$961","$2600","09/30/2011","$1","$0"
H2TX34022,"FAULK, WILLIAM A JR "RUSTY"",REPUBLICAN PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H0TX17104,"FLORES, BILL",REPUBLICAN PARTY,INCUMBENT,"$858229","$472250","$219983","$0","$150346","$261578","$640570","$845374","09/30/2011","$1","$0"
H2TX23124,"GALLEGO, PETE",DEMOCRATIC PARTY,CHALLENGER,"$135111","$131111","$4000","$0","$0","$1878","$133233","$0","09/30/2011","$1","$0"
H2TX25210,"GARRISON, DAVID HENRY",REPUBLICAN PARTY,CHALLENGER,"$583865","$19915","$0","$0","$563950","$13264","$570600","$563950","09/30/2011","$1","$0"
H2TX30061,"GELBMAN, ITAMAR",REPUBLICAN PARTY,CHALLENGER,"$83365","$5170","$0","$0","$78195","$1167","$82471","$79112","09/30/2011","$1","$0"
H2TX22092,"GEORGE, KELAYIL P",DEMOCRATIC PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
