Candidate Id,Candidate Name,Party,Incumbent,Total Receipts,Individual,PAC,PartyContribute,Candidate,Disbursements,Cash On Hand,Debt,Date Through,Committee Canlendar Year,Transfers to other Authorized
S2TX00320,"ADDISON, MARSHALL GLENN",REPUBLICAN PARTY,OPEN,"$67422","$60486","$0","$0","$6000","$31864","$35557","$6059","09/30/2011","$1","$0"
S2TX00395,"BOONE, DANIEL CURTIS", ,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
S0TX00175,"CASTANUELA, ANDREW PAREDES",REPUBLICAN PARTY,OPEN,"$1503","$350","$0","$0","$1153","$1508","$109","$0","09/30/2011","$1","$0"
S2TX00387,"CLEAVER, CURTIS C",REPUBLICAN PARTY,OPEN,"$3208","$252","$0","$0","$2956","$2805","$403","$2796","09/30/2011","$1","$0"
S2TX00312,"CRUZ, RAFAEL EDWARD TED",REPUBLICAN PARTY,OPEN,"$2874662","$2753833","$47125","$1000","$70000","$453150","$2421512","$70000","09/30/2011","$1","$0"
S2TX00379,"DAY, TIMOTHY TERELL",REPUBLICAN PARTY,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
S2TX00361,"DEWHURST, DAVID H",REPUBLICAN PARTY,OPEN,"$4653784","$2456934","$177701","$0","$2019147","$481194","$4172589","$2121961","09/30/2011","$1","$0"
S2TX00346,"GARZA, STANLEY",DEMOCRATIC PARTY,OPEN,"$200","$0","$0","$0","$142","$198","$1","$0","09/30/2011","$1","$0"
S0TX00183,"GEORGE, MICHAEL  LOUIS",REPUBLICAN PARTY,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
S2TX00304,"HUBBARD, SEAN PETER",DEMOCRATIC PARTY,OPEN,"$10438","$9853","$0","$0","$585","$7250","$586","$0","09/30/2011","$1","$0"
S2TX00262,"JONES, ELIZABETH AMES",REPUBLICAN PARTY,OPEN,"$670160","$650569","$10600","$0","$0","$683241","$304067","$0","09/30/2011","$1","$0"
S2TX00338,"LEPPERT, THOMAS C",REPUBLICAN PARTY,OPEN,"$5123399","$2462297","$19020","$0","$2638958","$952329","$4171069","$2600000","09/30/2011","$1","$0"
S2TX00296,"NELSON, CHRISTOPHER LEE",INDEPENDENT,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
S2TX00353,"SANCHEZ, RICARDO SAUCEDA",DEMOCRATIC PARTY,OPEN,"$243243","$223158","$20076","$0","$0","$124273","$118970","$0","09/30/2011","$1","$0"
S0TX00134,"SHAPIRO, FLORENCE",REPUBLICAN PARTY,OPEN,"$0","$0","$0","$0","$0","$14840","$71554","$0","09/30/2011","$1","$0"
S0TX00167,"SHARP, JOHN",DEMOCRATIC PARTY,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
S2TX00288,"WHITE, BILL",DEMOCRATIC PARTY,OPEN,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
S0TX00142,"WILLIAMS, MICHAEL L",REPUBLICAN PARTY,OPEN,"$720699","$684169","$36530","$0","$0","$482199","$248257","$189925","09/30/2011","$1","$0"
S2TX00270,"WILLIAMS, ROGER",REPUBLICAN PARTY,OPEN,"$1171755","$1149382","$13050","$0","$0","$1985676","$0","$0","09/14/2011","$1","$1095529"
